(newlook appli)=0.6666666666666666
(talent guess)=0.6666666666666666
(french retail)=0.6666666666666666
(that painful)=0.0273972602739726
(hard work)=0.06896551724137931
(ad video)=0.005698005698005698
(time stress)=0.03508771929824561
(onedrectinfan proud)=0.4
(bone hank)=0.05
(guess lovegigi)=0.002751031636863824
(edwardcarrylol tri)=1.0
(god that)=0.15384615384615385
(bodrak soho)=0.6666666666666666
(lassi sister)=0.18181818181818182
(own guess)=0.07692307692307693
(best friend)=0.38461538461538464
(like share)=0.028985507246376812
(guess need)=0.0044742729306487695
(devic heat)=0.4
(emoji code)=0.8
(jihad camp)=0.75
(insopher yay)=1.0
(guess libertedream)=0.004338394793926247
(samambreen stavver)=1.0
(xxxevelynnxxx guess)=0.6666666666666666
(joshdevinedrum hope)=0.6666666666666666
(didnt captur)=0.07142857142857142
(awan advis)=0.6666666666666666
(airwalkonlin oakley)=0.6666666666666666
(your enjoy)=0.05714285714285714
(assistantassistant aux)=1.0
(cutiegagaloo guess)=0.6666666666666666
(jeknight ell)=0.6666666666666666
(man shout)=0.004594180704441042
(look classi)=0.04081632653061224
(day enjoy)=0.017241379310344827
(suppos coach)=0.2857142857142857
(weekend blast)=0.15384615384615385
(solid mango)=0.6666666666666666
(aww feel)=0.25
(project excit)=0.2857142857142857
(lesbian anthem)=0.6666666666666666
(turbo commi)=0.6666666666666666
(complic tall)=0.5
(smoothi recip)=0.08695652173913043
(im good)=0.015384615384615385
(eu pakistan)=0.0392156862745098
(kerishe verifi)=1.0
(check sweet)=0.15384615384615385
(guess updat)=0.0032102728731942215
(dead bodi)=0.42857142857142855
(smash tournament)=0.2
(know jacobwhitesid)=0.07407407407407407
(way young)=0.038461538461538464
(kohl fifthharmoni)=0.6666666666666666
(steak lasagn)=0.5
(spend night)=0.15384615384615385
(okay dude)=0.2857142857142857
(ep steve)=0.02564102564102564
(pick mango)=0.6666666666666666
(know im)=0.08
(curri tofu)=0.4
(miaespada guess)=1.0
(charcoal rice)=0.5
(celf vote)=0.6666666666666666
(hire fiscalist)=0.2
(happi father)=0.06896551724137931
(hid shes)=0.5
(nicktann ibristolpeopl)=1.0
(mango sticki)=0.004434589800443459
(im stay)=0.006230529595015576
(crave sweet)=0.3333333333333333
(jj today)=0.6666666666666666
(elizahara realli)=1.0
(nochil guess)=0.6666666666666666
(dude u)=0.16666666666666666
(neuvoo lévis)=0.5
(demoorsophi hey)=0.6666666666666666
(make like)=0.058823529411764705
(way make)=0.05714285714285714
(radio minecraft)=0.4
(dont sleep)=0.0625
(n chees)=0.0010281719103434094
(catch deez)=0.5
(saw u)=0.4
(concept mécaniqu)=0.6666666666666666
(import guess)=0.3333333333333333
(choic word)=0.6666666666666666
(happi birthday)=0.125
(tea mango)=0.037037037037037035
(camerondalla cam)=0.09090909090909091
(time eat)=0.0392156862745098
(tioiansresto tio)=0.6666666666666666
(steven univers)=0.6666666666666666
(exact week)=0.4
(say tweet)=0.08695652173913043
(enjoy day)=0.15384615384615385
(jetlagcalum im)=1.0
(mcdonald said)=0.3333333333333333
(hardwar lampa)=0.6666666666666666
(jakestr mdfuntimeguy)=1.0
(leaf fold)=0.5
(ft gemini)=0.04
(aam black)=0.6666666666666666
(your liter)=0.043478260869565216
(meal loser)=0.5
(today happi)=0.046511627906976744
(cream birthday)=0.125
(guess cancel)=0.002967359050445104
(cut address)=0.05263157894736842
(girl high)=0.1111111111111111
(tofu fri)=0.6666666666666666
(fan club)=0.08
(beachbound follow beachbound for)=0.4
(period tomorrow)=0.6666666666666666
(just cut)=0.011560693641618497
(mango passion)=0.0072992700729927005
(one emivirgin)=0.012578616352201259
(follow away)=0.08
(pakistan fashion)=0.2222222222222222
(icecream vegan)=0.5
(sad guess)=0.1111111111111111
(debut actor)=0.2222222222222222
(just tighter)=0.014492753623188406
(ns fan)=0.017543859649122806
(gestion quantum)=0.5
(pomegran pineappl)=0.4
(gonna flex)=0.11764705882352941
(help petit)=0.14285714285714285
(lawd buffalowildw)=0.6666666666666666
(toton follow)=0.6666666666666666
(pineappl mango)=0.15384615384615385
(group yellow)=0.18181818181818182
(quak judici)=0.6666666666666666
(fabric stgeorg)=0.5
(littl starbuck)=0.15384615384615385
(haha that)=0.13333333333333333
(chikchirp subodh)=0.5
(want vannessvanwu)=0.02666666666666667
(call mango)=0.16666666666666666
(cleanser promot)=0.6666666666666666
(song sit)=0.11764705882352941
(mango cheeseburg)=0.005813953488372093
(neuvoolevi thank)=1.0
(look coordonnateurtric)=0.07142857142857142
(ray look)=0.15384615384615385
(die rip)=0.09090909090909091
(lost ton)=0.3333333333333333
(imposs gift)=0.5
(melanin music)=0.6666666666666666
(infuri black)=0.6666666666666666
(respect veteran)=0.6666666666666666
(lare wont)=0.6666666666666666
(nd box)=0.00408997955010225
(servic gestion)=0.14285714285714285
(punchabl face)=0.6666666666666666
(nike pepsi)=0.4
(wait gonna)=0.09090909090909091
(hyacinth bloom)=0.6666666666666666
(randygirllif put)=0.6666666666666666
(teeth natur)=0.3333333333333333
(aliciakey debut)=0.6666666666666666
(yeah care)=0.4
(entertain joywav)=0.5
(siwon guess)=0.6666666666666666
(nope sorri)=1.0
(theweekndcam like)=1.0
(discuss celebreti)=0.6666666666666666
(chanimali punchabl)=0.6666666666666666
(dat shit)=0.18181818181818182
(issalyann guess)=1.0
(dow levi)=0.125
(xuchilbara leav)=0.6666666666666666
(mis whr)=0.044444444444444446
(cyrus levi)=0.5
(stand tweet)=0.125
(pakistan struggl)=0.4
(tea isnt)=0.05263157894736842
(spell guess)=0.6666666666666666
(phaaattti ross)=1.0
(lovegigi tweet)=0.6666666666666666
(theshira guess)=1.0
(transili southboundbrew)=0.6666666666666666
(retweet vote)=0.5
(right theyr)=0.08695652173913043
(vegan gluten)=0.2
(employe just)=0.5
(one answer)=0.012048192771084338
(mango bet)=0.006818181818181818
(cavalo homi)=0.6666666666666666
(fuck wtf)=0.125
(cancel respect)=0.4
(right want)=0.0625
(averag spend)=0.4
(love custom)=0.025
(realli unni)=0.4
(fidderi ya)=1.0
(heard member)=0.3333333333333333
(dunnoi guess)=0.6666666666666666
(harrystyl concert)=0.3333333333333333
(aux sport)=0.2857142857142857
(bout guess)=0.09090909090909091
(chines sushi)=0.4
(taylor didnt)=0.25
(urban thing)=1.0
(walk street)=0.2
(like know)=0.019230769230769232
(thibault levi)=0.6666666666666666
(sterolinesmeta mebescissorluv)=0.6666666666666666
(interest rescu)=0.5
(danielrubino gabeaul)=0.6666666666666666
(help guess)=0.1111111111111111
(feel small)=0.125
(photo diari)=0.18181818181818182
(wish levi)=0.1
(anni piper)=0.5
(perform outsid)=0.2857142857142857
(queenoftherasta stomach)=1.0
(rngspunj lol)=1.0
(special radamantheso)=0.3333333333333333
(today butter)=0.05555555555555555
(kernel broke)=0.5
(say ice)=0.08
(guy guess)=0.058823529411764705
(minist im)=0.3333333333333333
(mango serious)=0.00641025641025641
(alorajaym johnwestwoodxxx)=1.0
(kind love)=0.125
(piec love)=0.2222222222222222
(gut d)=0.4
(aw idk)=0.03278688524590164
(diyd diyjean)=0.6666666666666666
(figur wake)=0.4
(alphons desjardin)=0.6666666666666666
(necess watch)=0.4
(demilovato shoutout)=0.6666666666666666
(hope meet)=0.13333333333333333
(guess bet)=0.006185567010309278
(class québec)=0.25
(finna lemon)=1.0
(guy go)=0.08695652173913043
(forgiven see)=0.6
(morn herbalif)=0.1
(miss day)=0.046511627906976744
(joselinele tgmheidi)=0.6666666666666666
(grow mango)=0.4
(lvg quick)=0.4
(shall stop)=0.6666666666666666
(coconut icecream)=0.2
(guess urgent)=0.00333889816360601
(know just)=0.06666666666666667
(cuddl lol)=0.6666666666666666
(just wait)=0.014814814814814815
(furnitur mango)=0.6
(fav littl)=0.11764705882352941
(well fargo)=0.09523809523809523
(guess time)=0.003105590062111801
(open huntington)=0.2
(guess like)=0.0029069767441860465
(ade old)=0.058823529411764705
(taattiiaannaa im)=0.6666666666666666
(reason peopl)=0.2222222222222222
(connect guess)=0.4
(cpulieb want)=0.6666666666666666
(embarrass pain)=0.6666666666666666
(pecoraro jono)=0.6666666666666666
(say lucki)=0.07407407407407407
(vote mtvhottest)=0.2857142857142857
(white stripe)=0.2222222222222222
(sa musician)=0.007168458781362007
(year gonna)=0.05
(drink pain)=0.11764705882352941
(mango tenor)=0.006557377049180328
(barbaraig bcbgener)=0.5
(iphon batteri)=0.16666666666666666
(just want)=0.03816793893129771
(real good)=0.0625
(old rag)=0.05
(mango split)=0.0034602076124567475
(yewybeargam watch)=1.0
(yogurt fresh)=0.6666666666666666
(boy van)=0.09523809523809523
(didnt know)=0.18181818181818182
(varieti cool)=0.6666666666666666
(concert guess)=0.2222222222222222
(year old)=0.07142857142857142
(ariat boot)=0.6666666666666666
(wont impos)=0.2
(just day)=0.02127659574468085
(doesnt goodnight)=0.4
(conseil look)=0.6666666666666666
(pack free)=0.18181818181818182
(doubt say)=0.6666666666666666
(goodon rewatch)=0.6666666666666666
(express look)=0.6666666666666666
(command mango)=0.3333333333333333
(swiss muesli)=0.6666666666666666
(mango float)=0.008670520231213872
(transform high)=0.5
(guess model)=0.0036036036036036037
(pull gon)=0.4
(dua mango)=0.6666666666666666
(work group)=0.025974025974025976
(lobbi panic)=0.6666666666666666
(u guess)=0.00558659217877095
(magic black)=0.5
(nectar im)=0.3333333333333333
(kimmyyyyyy love)=1.0
(guess karen)=0.004008016032064128
(stream connect)=0.18181818181818182
(mango herbal)=0.0039447731755424065
(chloeeejr earli)=1.0
(– finit)=0.4
(day drink)=0.015873015873015872
(anna elsa)=0.0625
(levi u)=0.01680672268907563
(time diy)=0.03278688524590164
(shut good)=0.5
(theyr spend)=0.6666666666666666
(askcamandshan think)=0.5
(jewelleri piec)=0.6666666666666666
(hire planificateurtric)=0.1
(follow peopl)=0.05555555555555555
(milii thank)=1.0
(guess happen)=0.005025125628140704
(cloth gone)=0.4
(iphon screen)=0.5
(want fat)=0.034482758620689655
(game moz)=0.1
(breakfast appl)=1.0
(lunch today)=0.25
(began request)=0.6666666666666666
(guesswhoiam editori)=1.0
(object fli)=0.4
(sorri pretti)=0.15384615384615385
(salsa finestgrillathon)=0.125
(summer mango)=0.25
(spam useless)=0.3333333333333333
(bacon immedi)=0.3333333333333333
(think probabl)=0.08
(easier judg)=0.6666666666666666
(news immedi)=0.2857142857142857
(wonder start)=0.3333333333333333
(celebrityhairstylist behindthescen)=0.6666666666666666
(zucchini yellow)=0.6666666666666666
(yee guess)=0.4
(tri noticedh)=0.023255813953488372
(limit edit)=0.25
(damn guess)=0.14285714285714285
(morn mango)=0.13333333333333333
(luv ur)=0.5
(ltée appli)=0.6666666666666666
(new pic)=0.07894736842105263
(look hella)=0.04
(casio scicalcul)=0.6666666666666666
(mango magic)=0.003215434083601286
(life soooooo)=0.09523809523809523
(day urstrulymahesh)=0.012903225806451613
(godsofskyforg guess)=1.0
(lamour fashion)=0.6666666666666666
(ticket welltodolondon)=0.25
(qualiti membership)=0.6666666666666666
(guess good)=0.0035335689045936395
( was day)=0.6666666666666666
(fuck know)=0.10526315789473684
(over enthusiast)=0.08333333333333333
(better date)=0.058823529411764705
(asimighti trafficdxb)=1.0
(seek sunken)=0.6666666666666666
(drdan sarahreestv)=0.6666666666666666
(where mango)=0.1
(thank cg)=0.05714285714285714
(cancel ticket)=0.5
(safecofield iner)=0.6666666666666666
(prize film)=0.5
(play weekend)=0.1111111111111111
(guess gone)=0.0037735849056603774
(sip starbuck)=0.25
(guess wasnt)=0.0038510911424903724
(la area)=0.0055248618784530384
(yoyocaramel think)=1.0
(graceamorand guess)=1.0
(smoothi machin)=0.0625
(text caus)=0.6666666666666666
(foto mangocoast)=0.6666666666666666
(person cloth)=0.2
(perfect dont)=0.2222222222222222
(video game)=0.07142857142857142
(ice cold)=0.02666666666666667
(spoil lil)=0.6666666666666666
(teammessi xaviherrnandez)=0.6666666666666666
(demo later)=0.4
(boy aint)=0.1
(shine case)=0.5
(arizona long)=0.25
(calemonad cocktail)=0.6666666666666666
(beef cabbag)=0.4
(group plc)=0.2857142857142857
(niki yeah)=1.0
(mighti mango)=1.0
(moani guess)=0.6666666666666666
(food best)=0.125
(ticket hogan)=0.2222222222222222
(hair gash)=0.14285714285714285
(goodby cwim)=0.6666666666666666
(hope good)=0.08695652173913043
(stop procrastin)=0.14285714285714285
(serv trader)=0.09523809523809523
(strawberri euphoriumbakeri)=0.2857142857142857
(realli expect)=0.13333333333333333
(request nitian)=0.4
(grate situat)=0.4
(itun wanna)=0.6666666666666666
(mango import)=0.006349206349206349
(mango tea)=0.011267605633802818
(peopl tri)=0.05714285714285714
(nerdynitin eventu)=1.0
(defundplannedparenthood life)=0.6666666666666666
(yes lawd)=0.13333333333333333
(annoy fast)=0.25
(report sweetest)=0.6666666666666666
(gonna whip)=0.1111111111111111
(thought myasshurt)=0.1111111111111111
(xxl vodka)=0.6666666666666666
(ku friend)=0.15384615384615385
(mistralkdawn guess)=1.0
(im lazi)=0.006269592476489028
(reganleahhh drink)=1.0
(compliment jennaysa)=0.4
(visualflow fill)=1.0
(spasm drop)=0.6666666666666666
(bodyprint artist)=0.6666666666666666
(delilahbluexoxo charlotteoryan)=0.6666666666666666
(shouldnt hope)=0.6666666666666666
(eager start)=0.3333333333333333
(thank aw)=0.06060606060606061
(guess list)=0.0029542097488921715
(sweet spici)=0.2
(follow rts)=0.06060606060606061
(oi dont)=0.024096385542168676
(hmu im)=0.6666666666666666
(extrem werent)=0.6666666666666666
(toughalso guess)=0.6666666666666666
(pluto mission)=0.2857142857142857
(men concert)=0.045454545454545456
(loan guess)=0.3333333333333333
(thank present)=0.06896551724137931
(guess ceomonth)=0.0038910505836575876
(lay couch)=0.08
(celebritymakeupartist celebrityhairstylist)=0.6666666666666666
(randstad hire)=0.6666666666666666
(funni movi)=0.4
(sweet ask)=0.13333333333333333
(mango bay)=0.004132231404958678
(thing forgiven)=0.04878048780487805
(guess tshirt)=0.003129890453834116
(pet x)=0.1111111111111111
(jeuness psychologu)=0.6666666666666666
(wish poster)=0.125
(greatquot crazi)=1.0
(procrastin low)=0.6666666666666666
(guarante just)=0.6666666666666666
(home guess)=0.09090909090909091
(chantier davi)=1.0
(paint wife)=0.3333333333333333
(coachkcullum your)=1.0
(guess hoyahollywood)=0.0036429872495446266
(vrac levi)=0.6666666666666666
(cardnal virgo)=0.6666666666666666
(cute guy)=0.3333333333333333
(butterfli yeah)=0.6666666666666666
(sorta end)=0.6666666666666666
(id cut)=0.011363636363636364
(left come)=0.3333333333333333
(hire journali)=0.3333333333333333
(got guess)=0.03225806451612903
(symbol confus)=0.6666666666666666
(peopl believ)=0.08333333333333333
(hunni guess)=0.6666666666666666
(mango sweet)=0.003105590062111801
(add androgyni)=0.06896551724137931
(u ask)=6.743088334457181E-4
(tri best)=0.03225806451612903
(aid bowl)=0.07692307692307693
(guy best)=0.07692307692307693
(ovenmittyusilli thought)=1.0
(guess spend)=0.003257328990228013
(vent need)=0.1111111111111111
(class big)=0.18181818181818182
(guess met)=0.002617801047120419
(popcorn kernel)=0.6666666666666666
(saint john)=0.5714285714285714
(guess big)=0.0024242424242424242
(bacteri cultur)=0.6666666666666666
(st happen)=0.002242152466367713
(zaïr  was)=0.6666666666666666
(berri chia)=0.13333333333333333
(wast valuabl)=0.3333333333333333
(nail biancsta)=0.3333333333333333
(tomorrow lashingsworldxi)=0.07692307692307693
(book gl)=0.09090909090909091
(ha rip)=0.0033003300330033004
(mango lemonad)=0.009554140127388535
(nah came)=0.2222222222222222
(street gale)=0.5
(levi diy)=0.011363636363636364
(wish kiss)=0.06451612903225806
(friend pretti)=0.05714285714285714
(chilean sea)=0.6666666666666666
(sat mosssideket)=0.25
(actual background)=0.15384615384615385
(believ u)=0.3333333333333333
(jus pull)=0.015037593984962405
(ago sc)=0.2222222222222222
(amybraunauthor guess)=1.0
(sport jay)=0.1111111111111111
(thunderstorm like)=0.6666666666666666
(caus walkin)=0.16666666666666666
(week sigh)=0.09523809523809523
(bay resort)=0.2
(come way)=0.04878048780487805
(levisgirlxx wont)=0.5
(motiv god)=0.6666666666666666
(tiffanydollxxx dogfartnetwork)=0.6666666666666666
(oggi mango)=0.6666666666666666
(sjxioapalx sowksnjskak)=1.0
(im go)=0.034722222222222224
(tshirt iron)=0.4
(guy robin)=0.10526315789473684
(porsch lover)=0.6666666666666666
(iphon iphon)=0.2727272727272727
(home mango)=0.1
(jorge taattiiaannaa)=0.5
(year fifth)=0.06666666666666667
(lamin intsiplusvoid)=1.0
(high qualiti)=0.16666666666666666
(cht sex)=0.5
(calvo loveu)=0.6666666666666666
(friend sitg)=0.07692307692307693
(overheard waiter)=1.0
(look plongeurplongeus)=0.058823529411764705
(southern bbq)=0.6666666666666666
(spray tropic)=0.3333333333333333
(happi guess)=0.08695652173913043
(chocol treat)=0.3333333333333333
(ccot tcot)=0.6666666666666666
(tell click)=0.16666666666666666
(tacoandtequila la)=1.0
(weak that)=1.0
(stream paint)=0.14285714285714285
(cut yes)=0.07142857142857142
(britney spear)=0.6666666666666666
(hey guy)=0.038461538461538464
(white peopl)=0.16666666666666666
(start eat)=0.10526315789473684
(serial killer)=0.6666666666666666
(ko mangotsfieldutdmango)=0.06451612903225806
(threw guess)=0.6666666666666666
(boyfriend jean)=1.0
(realli make)=0.0625
(renalov nialov)=0.6666666666666666
(cc kuberchopra)=0.05555555555555555
(moopz guess)=0.6666666666666666
(hint poni)=0.4
(mango nokia)=0.004784688995215311
(like look)=0.020618556701030927
(miss lobbi)=0.05128205128205128
(lomoreno letti)=1.0
(michyxo your)=1.0
(itz toton)=0.3333333333333333
(eliana tri)=1.0
(love spend)=0.021052631578947368
(perfect night)=0.25
(amaz insta)=0.1111111111111111
(inat goat)=0.2222222222222222
(servic dentretien)=0.25
(illustr movi)=0.2
(stream today)=0.14285714285714285
(id proud)=0.009950248756218905
(hurt feel)=0.25
(wore geni)=0.6666666666666666
(meat guess)=0.6666666666666666
(lime peach)=0.25
(fill friend)=0.5
(cantina today)=0.6666666666666666
(luckygirl indieauthor)=0.6666666666666666
(want bj)=0.027777777777777776
(levi couchetard)=0.012903225806451613
(actual im)=0.14285714285714285
(liter pack)=0.2222222222222222
(dordonn need)=0.6666666666666666
(mycoopfood fresh)=1.0
(blueberri pomegran)=0.3333333333333333
(guess probabl)=0.0031201248049922
(aaaand basic)=1.0
(yeah final)=0.15384615384615385
(r u)=0.0012391573729863693
(lévis great)=0.4
(diari roberta)=0.5
(drove port)=0.5
(open tomorrow)=0.13333333333333333
(mango garita)=0.0048543689320388345
(eyebrow new)=0.6666666666666666
(bling forev)=0.4
(shop heart)=0.25
(leatriceeiseman serv)=1.0
(factori mango)=0.6666666666666666
(moisesdiaz guess)=1.0
(peppa interact)=0.5
(alimentair levi)=0.6666666666666666
(slice colordesign)=0.3333333333333333
(let beer)=0.0392156862745098
(speed loki)=0.6666666666666666
(sad robin)=0.08
(levi microsoft)=0.010582010582010581
(dude goodgamestudio)=0.15384615384615385
(move just)=0.6666666666666666
(glitchr video)=1.0
(hella good)=0.4
(himouto chan)=0.6666666666666666
(judg person)=0.6666666666666666
(happi grate)=0.14285714285714285
(cut mango)=0.125
(right infuri)=0.06896551724137931
(aurora rainbowslinki)=1.0
(guess watch)=0.0028653295128939827
(fli mango)=0.14285714285714285
(inesta levi)=0.6666666666666666
(respond guess)=0.6666666666666666
(think wasnt)=0.06896551724137931
(merica usa)=0.2857142857142857
(like melancholicsad)=0.02197802197802198
(imma eat)=0.6666666666666666
(harmoni audit)=0.4
(girl fun)=0.05714285714285714
(tell mango)=0.14285714285714285
(billi knew)=0.5
(lana voic)=0.6666666666666666
(craftingthefutureoffood vegan)=0.6666666666666666
(right perfum)=0.06451612903225806
(hohoitsangelica levisgirlxx)=1.0
(yaysolodm okay)=1.0
(canada technolog)=0.6666666666666666
(vodka mango)=0.6666666666666666
(bout eat)=0.09523809523809523
(hope your)=0.07407407407407407
(buy activ)=0.10526315789473684
(mobil internet)=0.3333333333333333
(present beauti)=0.25
(ccp rge)=0.6666666666666666
(pipandnut pip)=1.0
(nvm bad)=0.6666666666666666
(thevoic realli)=0.6666666666666666
(luck time)=0.18181818181818182
(relev interest)=1.0
(heal properti)=0.3333333333333333
(satchel busi)=0.6666666666666666
(wanna live)=0.16666666666666666
(guess networkoper)=0.0034129692832764505
(nugget rag)=0.6666666666666666
(envi man)=0.6666666666666666
(understand question)=0.25
(app download)=0.01680672268907563
(pin blog)=0.046511627906976744
(feel guess)=0.13333333333333333
(earli celebritymakeupartist)=0.2222222222222222
(singhaniagautam guess)=1.0
(get nwo)=0.04
(oh open)=0.05555555555555555
(dogfartnetwork kinda)=0.6666666666666666
(want stay)=0.030303030303030304
(dress guess)=0.3333333333333333
(summer just)=0.15384615384615385
(that your)=0.02631578947368421
(love havent)=0.028985507246376812
(end babi)=0.018018018018018018
(fill twice)=0.4
(best bet)=0.07407407407407407
(urstrulymahesh said)=0.6666666666666666
(gold wv)=0.6666666666666666
(month guess)=0.2
(vegan shortbread)=0.3333333333333333
(love rag)=0.023809523809523808
(float ice)=0.2857142857142857
(that cop)=0.02247191011235955
(friend great)=0.046511627906976744
(prayerinj gotta)=1.0
(think pride)=0.09523809523809523
(heard suppos)=0.3333333333333333
(mango ive)=0.0031397174254317113
(rambl colin)=0.6666666666666666
(mango stick)=0.010344827586206896
(work slgamingcon)=0.03225806451612903
(immedi ban)=0.2857142857142857
(year make)=0.046511627906976744
(town like)=0.14285714285714285
(yum straw)=0.14285714285714285
(thank bought)=0.05263157894736842
(shapes goal)=0.6666666666666666
(wrong guess)=0.2
(voic moani)=0.2857142857142857
(tragedi guess)=0.6666666666666666
(camerondalla omg)=0.08695652173913043
(robandrich tshirt)=0.6666666666666666
(sorbetgroupnail bling)=0.6666666666666666
(sad night)=0.07142857142857142
(good even)=0.023255813953488372
(finit levi)=0.4
(start foul)=0.1111111111111111
(kink stone)=0.6666666666666666
(jyj admin)=0.6666666666666666
(cookiefraud aye)=1.0
(follow limit)=0.05263157894736842
(pnnamboo shubhambhuyaat)=1.0
(tri mango)=0.047619047619047616
(buffet bsiderar)=0.6666666666666666
(chickpea mango)=0.6666666666666666
(happi year)=0.16666666666666666
(happybirthday year)=0.5
(shireenmazari pm)=1.0
(levi just)=0.008888888888888889
(hyperx fun)=0.6666666666666666
(today haha)=0.08
(peopl best)=0.07142857142857142
(box pretti)=0.2222222222222222
(n th)=0.01125665165779779
(concert miami)=0.13333333333333333
(mango caiprinha)=0.007352941176470588
(love refer)=0.016666666666666666
(sushi mac)=0.3333333333333333
(u work)=6.226650062266501E-4
(forev yall)=0.047619047619047616
(better strawberri)=0.09523809523809523
(ell congrat)=0.025974025974025976
(cooki dri)=0.5
(compliment shapes)=0.5
(fun last)=0.046511627906976744
(hope enjoy)=0.06451612903225806
(rip hyperx)=0.08333333333333333
(companionsdw mango)=1.0
(trio liz)=0.4
(stamour hire)=0.6666666666666666
(cake caramel)=0.08695652173913043
(guy slay)=0.08
(dont stream)=0.03389830508474576
(shine bright)=0.4
(boafranc senc)=0.6666666666666666
(iamjiv aww)=1.0
(old refer)=0.05714285714285714
(pack sr)=0.3333333333333333
(annelaurett love)=1.0
(bitch miss)=0.6666666666666666
(year pakistan)=0.05405405405405406
(morganstanley stop)=0.6666666666666666
(waiter monoton)=0.6666666666666666
(capac guess)=0.4
(zainmaiiq istanbul)=1.0
(saw truck)=0.2857142857142857
(pear cabochon)=0.3333333333333333
(ke liy)=0.00554016620498615
(milk differ)=0.4
(wouldnt guess)=0.6666666666666666
(rob lovehim)=0.05128205128205128
(gaemmiegyu siwon)=1.0
(releas song)=0.6666666666666666
(gonna tell)=0.09090909090909091
(u ket)=9.386733416770963E-4
(interrupt got)=0.6666666666666666
(just hand)=0.013333333333333334
(creepi face)=0.6666666666666666
(ahead guess)=0.5
(industriel appli)=0.6666666666666666
(lot issu)=0.13333333333333333
(guess cover)=0.002680965147453083
(like want)=0.025
(cream sunda)=0.14285714285714285
(guess chang)=0.00437636761487965
(fandom guy)=0.6666666666666666
(lay face)=0.07142857142857142
(bell free)=0.3333333333333333
(aint anal)=0.1111111111111111
(jayweingarten discuss)=1.0
(lol havent)=0.06666666666666667
(im cri)=0.008298755186721992
(farm antipolo)=0.6666666666666666
(great way)=0.07692307692307693
(night bianca)=0.030303030303030304
(loropow guess)=1.0
(leav that)=0.14285714285714285
(refer obsess)=0.4
(butter spread)=0.16666666666666666
(psychologicai mango)=1.0
(beth miss)=0.6666666666666666
(coconut veget)=0.11764705882352941
(u just)=6.640106241699867E-4
(perfum guess)=0.6666666666666666
(heritag site)=0.6666666666666666
(allround ekaba)=0.6666666666666666
(help peopl)=0.1
(jordansmith maggi)=1.0
(import usa)=0.25
(joecarryon nace)=0.6666666666666666
(fri round)=0.05128205128205128
(gone lie)=0.2
(pm host)=0.2
(cconfec come)=1.0
(mtnza use)=0.6666666666666666
(world heritag)=0.15384615384615385
(levi maci)=0.014388489208633094
(aid chef)=0.09090909090909091
(like knock)=0.0196078431372549
(lévis appli)=0.2857142857142857
(willchamplini lve)=0.6666666666666666
(guess perform)=0.003284072249589491
(chop veg)=0.5
(steve rag)=0.5
(mango pretti)=0.003875968992248062
(hah actual)=0.125
(know your)=0.058823529411764705
(dont realli)=0.11764705882352941
(review calibraska)=0.6666666666666666
(excit guess)=0.6666666666666666
(facial mask)=0.6666666666666666
(dm follow)=0.18181818181818182
(gonna die)=0.125
(angellavenham guess)=1.0
(fri mango)=0.030303030303030304
(wonder guess)=0.4
(berri that)=0.08
(love matcha)=0.02197802197802198
(just wasnt)=0.011560693641618497
(shop guess)=0.09523809523809523
(matcha tropic)=0.3333333333333333
(mango coconut)=0.005405405405405406
(bold cut)=0.5
(peach tea)=0.125
(mangojfccc sanlamuk)=0.6666666666666666
(sad tragedi)=0.1
(wrap lunch)=0.2857142857142857
(store search)=0.2
(tho cuz)=0.05454545454545454
(actual consid)=0.11764705882352941
(dccon guess)=0.6666666666666666
(hemp flaxse)=0.6666666666666666
(drink mango)=0.23076923076923078
(sauc spici)=0.25
(fastfood got)=0.6666666666666666
(bed kinda)=0.16666666666666666
(guess compat)=0.00408997955010225
(wajskhan flood)=1.0
(aldosho gilt)=0.6666666666666666
(spinach cucumb)=0.18181818181818182
(ahm hard)=0.4
(abt der)=0.5
(mango farm)=0.004454342984409799
(porinju guess)=1.0
(shout oi)=0.3333333333333333
(guess actual)=0.0030534351145038168
(cream avail)=0.15384615384615385
(fat ass)=0.3333333333333333
(barbaraig love)=0.5
(verifi account)=0.6666666666666666
(richarddawkin guess)=0.6666666666666666
(swiftss taylor)=1.0
(lukesosloljok tri)=0.6666666666666666
(recommend tropic)=0.6666666666666666
(guess eas)=0.004454342984409799
(goe night)=0.2222222222222222
(like nake)=0.02857142857142857
(debut mango)=0.18181818181818182
(spider agat)=0.6666666666666666
(just hard)=0.03333333333333333
(appar male)=0.6666666666666666
(électronicienn need)=1.0
(guess run)=0.0029154518950437317
(europ africa)=0.4
(freeuud rag)=1.0
(chef sushi)=0.2857142857142857
(catfish bottlemen)=0.6666666666666666
(that peopl)=0.022222222222222223
(passionfruit berri)=0.4
(guess film)=0.0045045045045045045
(rachelzo levi)=1.0
(damn nvm)=0.25
(levi appli)=0.05263157894736842
(didnt advert)=0.1
(bone buffet)=0.02631578947368421
(recent rag)=0.6666666666666666
(ofdim levi)=0.4
(littl photo)=0.25
(tea think)=0.05128205128205128
(fashion immedi)=0.2222222222222222
(starbuck barista)=0.14285714285714285
(whos get)=0.10526315789473684
(alvedack levi)=1.0
(caus dont)=0.15384615384615385
(vet aid)=0.16666666666666666
(mango slice)=0.005249343832020997
(cashew wast)=0.75
(ago forev)=0.2857142857142857
