(inspir fam)=0.10526315789473684
(buy guess)=0.07142857142857142
(isabel r)=0.3333333333333333
(hot matchi)=0.03508771929824561
(dress great)=0.022222222222222223
(tcas rock)=0.6666666666666666
(mobiax levi)=1.0
(guess wildvillag)=0.021505376344086023
(place fantasia)=0.125
(bracelet forev)=0.2857142857142857
(denim buttondown)=0.029850746268656716
(insta today)=0.05555555555555555
(sunni color)=0.4
(twist folk)=0.3333333333333333
(send offer)=0.3333333333333333
(forev cecilmcbe)=0.01652892561983471
(fam slim)=0.07692307692307693
(hm “push)=0.006153846153846154
(beauti kete)=0.05128205128205128
(stella want)=0.6666666666666666
(red roadster)=0.08695652173913043
(birthday know)=0.1111111111111111
(danc tonight)=0.16666666666666666
(obsess skinni)=0.07692307692307693
(fashion outfit)=0.029850746268656716
(add knot)=0.07692307692307693
(weekend look)=0.1
(addict thank)=0.1
(perfect beach)=0.03333333333333333
(perfect clean)=0.06896551724137931
(laurey look)=0.6666666666666666
(gabriellawild love)=0.4
(ktinher hm)=0.6666666666666666
(donat mile)=0.6666666666666666
(newest fashion)=0.4
(handl new)=1.0
(thread hm)=0.05
(vman ragbon)=1.0
(perfect w)=0.07692307692307693
(bold floral)=0.4
(interact instathread)=0.6666666666666666
(consist levi)=0.6666666666666666
(deal forev)=0.25
(love hm)=0.011695906432748537
(benetton bracelet)=0.6666666666666666
(riverislandpr fam)=0.6666666666666666
(piec love)=0.18181818181818182
(team blueandblack)=0.4
(ala cute)=0.13333333333333333
(natur weekend)=0.6666666666666666
(agathavpw shop)=0.6666666666666666
(wow fam)=0.5
(style match)=0.05
(tkmaxxuk rrp)=0.5
(forev came)=0.00847457627118644
(know just)=0.08695652173913043
(fault freepeopl)=0.5
(boyfriendjean nikesportswear)=0.5
(guess accessori)=0.04
(pair jean)=0.0392156862745098
(hit jadefus)=0.038461538461538464
(interest hopestockholm)=0.5
(romankemp lot)=1.0
(forallmankind dusti)=0.08333333333333333
(thank rydel)=0.03389830508474576
(mango mango)=0.04225352112676056
(pont knit)=0.5
(night love)=0.06666666666666667
(ctsand glad)=0.6666666666666666
(panel guess)=0.4
(open day)=0.11764705882352941
(real photo)=0.047619047619047616
(maddisonbell sourc)=1.0
(white stripe)=0.1
(inspir jean)=0.09523809523809523
(ice coffe)=0.05405405405405406
(great peru)=0.046511627906976744
(collect levi)=0.13333333333333333
(s import)=5.03651473180559E-4
(time shopper)=0.05
(didnt know)=0.6666666666666666
(symbol west)=0.6666666666666666
(extrem love)=0.6666666666666666
(went shop)=0.3333333333333333
(hm ring)=0.005235602094240838
(room madrid)=0.4
(place shop)=0.16666666666666666
(handbag oasisfashion)=0.5
(love im)=0.007380073800738007
(guess bag)=0.030303030303030304
(win fam)=0.09523809523809523
(guess twist)=0.017094017094017096
(freepeopl cozi)=0.006688963210702341
(hm websit)=0.005277044854881266
(wash skinni)=0.4
(b lbs)=0.001899335232668566
(pant make)=0.06896551724137931
(match beauti)=0.2857142857142857
(know bought)=0.10526315789473684
(freepeopl long)=0.007352941176470588
(londonrebeluk forev)=0.4
(levi s)=0.05194805194805195
(favorit your)=0.08
(lace cami)=0.08695652173913043
(hello spring)=0.6666666666666666
(congratul angelaedelong)=0.6666666666666666
(mom loveh)=0.14285714285714285
(levi effort)=0.037037037037037035
(rydel rydelr)=0.3333333333333333
(hm iro)=0.005714285714285714
(buy jean)=0.05555555555555555
(shirt red)=0.07692307692307693
(omg globalgarcon)=0.6666666666666666
(lindseywixson famnewera)=0.5
(freepeopl look)=0.01904761904761905
(triscutbiscut massiv)=1.0
(restock oleorigin)=0.4
(thank nsale)=0.038461538461538464
(love youv)=0.006230529595015576
(filmmak matthewfrost)=0.6666666666666666
(store afford)=0.06451612903225806
(machin recreat)=0.5
(love your)=0.005305039787798408
(get bigger)=0.06976744186046512
(omg trade)=0.5
(bought love)=0.09090909090909091
(pick dress)=0.125
(awesom stuff)=0.09523809523809523
(post weekend)=0.1
(wear backless)=0.03773584905660377
(yesterday greatperu)=0.16666666666666666
(money cop)=0.2
(dress happi)=0.019417475728155338
(sustainbrand elimin)=1.0
(caus holiday)=0.125
(today blog)=0.05357142857142857
(give floati)=0.2
(herald squar)=1.0
(guess mom)=0.02830188679245283
(current obsess)=0.08333333333333333
(excit littl)=0.13333333333333333
(spent freepeopl)=0.25
(campaign arriv)=0.1
(sale shop)=0.05714285714285714
(bella fw)=0.2
(go shop)=0.0060790273556231
(yeah look)=1.0
(bone short)=0.03076923076923077
(play dress)=0.09523809523809523
(happi carousel)=0.06666666666666667
(excit got)=0.14285714285714285
(session iana)=0.2857142857142857
(need sleep)=0.08
(worth million)=0.4
(fblogger style)=0.09523809523809523
(ragandbon perfect)=0.15384615384615385
(thread screen)=0.13043478260869565
(levi wear)=0.013605442176870748
(issalac freepeopl)=1.0
(fam best)=0.03125
(legend wear)=0.5
(lace dress)=0.07142857142857142
(levi ctsand)=0.010362694300518135
(swimwear makeup)=0.4
(recent mango)=0.6666666666666666
(twinnnn pledg)=0.5
(wonder product)=0.3333333333333333
(thank luigigalang)=0.024691358024691357
(tallbrandi gilt)=1.0
(coffe creat)=0.25
(coffe trolley)=0.2857142857142857
(mango menorca)=0.015151515151515152
(jean black)=0.01098901098901099
(mango mangoman)=0.015873015873015872
(favourit old)=0.2222222222222222
(new level)=0.019801980198019802
(meet success)=0.2
(earli liter)=0.13333333333333333
(forev unveil)=0.018018018018018018
(avail prelov)=0.2
(snooh love)=1.0
(knit fam)=0.5
(mango tee)=0.08
(flareeveri girl)=0.6666666666666666
(use code)=0.05405405405405406
(inspir favorit)=0.1
(expand textil)=0.6666666666666666
(screen forev)=0.125
(freepeopl choos)=0.04081632653061224
(wear leather)=0.0273972602739726
(shoot check)=0.16666666666666666
(stylecrack zara)=1.0
(forev today)=0.024691358024691357
(luv fam)=0.6666666666666666
(packag came)=0.2222222222222222
(jean vr)=0.007352941176470588
(send strawberri)=0.2857142857142857
(come gs)=0.15384615384615385
(skinni pant)=0.1
(happen love)=0.4
(fam amaz)=0.013245033112582781
(green maxi)=0.6
(freepeopl sweet)=0.014814814814814815
(jenner wow)=0.4
(lay pair)=0.06060606060606061
(know damn)=0.08333333333333333
(arriv guess)=0.10526315789473684
(birthday forev)=0.2
(excel purchas)=0.4
(come freepeopl)=0.10526315789473684
(outfit thank)=0.03571428571428571
(iamfox hmlovesmus)=0.23076923076923078
(tell news)=0.046511627906976744
(yup got)=0.6666666666666666
(get spent)=0.043478260869565216
(pant forev)=0.07692307692307693
(lovin summer)=0.15384615384615385
(maintain profil)=0.6666666666666666
(mango bag)=0.04
(jean jacket)=0.011428571428571429
(freepeopl sell)=0.009478672985781991
(download freepeopl)=1.0
(wego forev)=0.6666666666666666
(quot love)=0.6666666666666666
(love jean)=0.006134969325153374
(kiyokothebrand sweater)=0.6666666666666666
(floral aso)=0.2
(hm hadddd)=0.006024096385542169
(kcdworldwid gabriellawild)=1.0
(fashion happyhijabi)=0.015037593984962405
(u label)=0.0011025358324145535
(thank hm)=0.041666666666666664
(popsugar levi)=0.3333333333333333
(fam addict)=0.04
(ootd forev)=0.1
(mango tau)=0.014598540145985401
(sweater valentino)=0.08333333333333333
(mango bcs)=0.024096385542168676
(day ragandbon)=0.013245033112582781
(love time)=0.0070921985815602835
(profil pictur)=0.6666666666666666
(bebestor shoe)=0.6666666666666666
(earcuff jewelri)=0.6666666666666666
(short freepeopl)=0.05555555555555555
(love demilovatofan)=0.006211180124223602
(week today)=0.0625
(edi time)=0.1111111111111111
(favorit pont)=0.07142857142857142
(got lot)=0.05
(thread site)=0.14814814814814814
(hmlife best)=0.2222222222222222
(order forev)=0.125
(rorynotroy holi)=1.0
(shop yesterday)=0.024691358024691357
(gabidaiagi need)=1.0
(giambattist came)=0.6666666666666666
(heel boot)=0.2857142857142857
(crush melli)=0.6666666666666666
(forev instant)=0.009433962264150943
(inspir shoot)=0.13333333333333333
(ultim accessori)=0.6666666666666666
(piec perfect)=0.14285714285714285
(crop top)=0.2857142857142857
(joythestor frompaperchas)=0.5
(status maintain)=0.6666666666666666
(im go)=0.011560693641618497
(includ ragbon)=0.5
(new blue)=0.015503875968992248
(coral jean)=0.6666666666666666
(die wear)=0.10526315789473684
(emison pari)=0.4
(fashion shop)=0.015151515151515152
(relish daili)=0.6666666666666666
(jewelri accessori)=0.6666666666666666
(pocket get)=0.4
(featur item)=0.07407407407407407
(old jean)=0.17857142857142858
(general pant)=0.6666666666666666
(famili start)=0.4
(featur rag)=0.12
(know denim)=0.125
(shop love)=0.0273972602739726
(circulareconomi infograph)=0.6666666666666666
(love shoot)=0.012048192771084338
(summer lwd)=0.05714285714285714
(nordstrom bcbgmaxazria)=0.4
(fam got)=0.044444444444444446
(shop thank)=0.03125
(bcs jean)=0.6666666666666666
(polyvor stretchi)=0.15384615384615385
(s cwnetwork)=4.887585532746823E-4
(ilariaurbinati yes)=0.6666666666666666
(boyfriend jean)=0.5
(mango gvkone)=0.024691358024691357
(ilov green)=0.5
(forev floral)=0.017699115044247787
(deal sign)=0.18181818181818182
(threadscreen recreat)=0.15384615384615385
(popsugarfashion live)=0.3333333333333333
(forev charlotteruss)=0.008130081300813009
(nokisslist look)=1.0
(freakin stoke)=0.6666666666666666
(great interview)=0.038461538461538464
(fw izabella)=0.18181818181818182
(rydelr stormielynchr)=0.5
(good time)=0.06451612903225806
(fashionblag hm)=1.0
(white skinni)=0.07142857142857142
(beach sweater)=0.2857142857142857
(peopl stop)=0.011428571428571429
(elimin cloth)=0.6666666666666666
(hm tee)=0.008
(look love)=0.019801980198019802
(yesterday pair)=0.14285714285714285
(clean dark)=0.5
(mango thank)=0.09090909090909091
(agre favorit)=0.6666666666666666
(that weak)=0.043478260869565216
(fblogger ootd)=0.07692307692307693
(ok cute)=0.014388489208633094
(freepeopl glamourmag)=0.011428571428571429
(feel yes)=0.08
(forallmankind josefina)=0.10526315789473684
(bone n)=0.020618556701030927
(person pretti)=0.16666666666666666
(take hm)=0.18181818181818182
(gangster snoopdogg)=0.6666666666666666
(wear custom)=0.038461538461538464
(fri leav)=0.05263157894736842
(save billion)=0.125
(phoebejtonkin photoshoot)=0.2222222222222222
(ladiesinlevi maci)=0.6666666666666666
(cold weather)=0.2857142857142857
(applewatch girl)=0.6666666666666666
(cloth instead)=0.03636363636363636
(barneysni ragbon)=0.6666666666666666
(today great)=0.0273972602739726
(work job)=0.05714285714285714
(right size)=0.09090909090909091
(ii ft)=0.6666666666666666
(patricejwil best)=1.0
(purs wait)=0.6666666666666666
(sister psis)=0.4
(easi transit)=0.5
(suit prada)=0.08695652173913043
(amaz cut)=0.11764705882352941
(brand hudson)=0.04878048780487805
(god your)=0.2857142857142857
(happi riverisland)=0.05
(far leighannsay)=0.4
(im best)=0.015037593984962405
(photo obsess)=0.0392156862745098
(amramak featur)=0.6666666666666666
(dress exact)=0.0273972602739726
(check weekend)=0.2222222222222222
(stori editori)=0.4
(sale jean)=0.04878048780487805
(weekend hike)=0.1
(s latest)=4.870920603994155E-4
(hm jean)=0.011194029850746268
(year proud)=0.2
(chic citi)=0.14285714285714285
(fashion backtoschool)=0.015625
(phoeb look)=0.16666666666666666
(happi danc)=0.03773584905660377
(mini alaia)=0.2222222222222222
(maxi skirt)=0.2
(great time)=0.045454545454545456
(americancurv guess)=0.6666666666666666
(buy ton)=0.08
(fam mcr)=0.011049723756906077
(concept season)=0.6666666666666666
(play love)=0.09090909090909091
(mango fashion)=0.02040816326530612
(mango definit)=0.020202020202020204
(onpoint just)=0.6666666666666666
(shop short)=0.01904761904761905
(poor fund)=0.5
(tonight iamfox)=0.15384615384615385
(close beauti)=0.16666666666666666
(sweet littl)=0.25
(sadbuttru supercheap)=1.0
(holiday shop)=0.3333333333333333
(need right)=0.06666666666666667
(fan forev)=0.08333333333333333
(altitud hang)=0.6666666666666666
(carven apc)=0.6666666666666666
(engag campaign)=0.6666666666666666
(hm t)=0.049019607843137254
(photo fashcham)=0.08
(naomikyl go)=0.13333333333333333
(good dad)=0.037037037037037035
(jean issu)=0.008928571428571428
(bone booti)=0.04081632653061224
(good day)=0.05263157894736842
(fit quad)=0.031746031746031744
(pac forev)=0.16666666666666666
(gregkoch excel)=1.0
(forev favorit)=0.013157894736842105
(fall need)=0.037037037037037035
(best fall)=0.04878048780487805
(hm thx)=0.010101010101010102
(popup london)=0.42857142857142855
(love rag)=0.012987012987012988
(second campaign)=0.6666666666666666
(fashionblogg lookoftheday)=0.3333333333333333
(readi backtoschool)=0.6666666666666666
(tree eye)=0.13333333333333333
(parkour street)=0.6666666666666666
(definit free)=0.3333333333333333
(jacket twin)=0.0625
(state street)=0.4
(shoptwig work)=1.0
(like fresh)=0.03225806451612903
(morganwatkin just)=0.6666666666666666
(night shopbop)=0.0625
(hm dj)=0.007575757575757576
(monochromat look)=0.6666666666666666
(transit dress)=0.4
(strawberri swirl)=0.6666666666666666
(nordstromsea track)=0.6666666666666666
(glad love)=0.6666666666666666
(thankyou mindblow)=0.2857142857142857
(waterlilana your)=1.0
(feather design)=0.6666666666666666
(like freepeopl)=0.03225806451612903
(spend guess)=0.3333333333333333
(nice look)=0.125
(congrat guessgirl)=0.4
(icospirit new)=0.3333333333333333
(trend shop)=0.14285714285714285
(just forev)=0.05
(hm jodibearc)=0.005235602094240838
(agre outfit)=0.4
(featur favorit)=0.07692307692307693
(levi just)=0.015625
(green greenwithenvi)=0.13333333333333333
(high love)=0.07692307692307693
(beauti jewelri)=0.05128205128205128
(bigger make)=0.2857142857142857
(stay cool)=0.6666666666666666
(hm bag)=0.00625
(cool ethic)=0.14285714285714285
(rock em)=0.09523809523809523
(cristacob work)=0.6666666666666666
(time life)=0.07692307692307693
(kind smile)=0.05405405405405406
(doubl rainbow)=0.3333333333333333
(ragbon anthropologi)=0.023809523809523808
(winner congratul)=0.5
(twas happi)=0.6666666666666666
(left nordstrom)=0.5
(desicollect love)=0.6
(girl fit)=0.06666666666666667
(alberta tee)=0.6666666666666666
(hope enjoy)=0.18181818181818182
(gear obsess)=0.4
(pastel shopjoa)=0.4
(blous level)=0.14285714285714285
(definit favourit)=0.15384615384615385
(pretti feather)=0.2
(pink sight)=0.13333333333333333
(fam jbrandjean)=0.07142857142857142
(freepeopl model)=0.0070921985815602835
(die know)=0.1
(hope win)=0.4
(pineappl perfect)=0.6666666666666666
(good comfi)=0.05405405405405406
(receiv shipment)=0.2
(size size)=0.16666666666666666
(hm hmlife)=0.007407407407407408
(receiv packag)=0.25
(sarahstormberg socialmediaday)=1.0
(jean girl)=0.009523809523809525
(prelov blous)=0.3333333333333333
(wanna tell)=0.375
(custom servic)=0.125
(sale bd)=0.1111111111111111
(think tri)=0.4
(denim ladiesinlevi)=0.0273972602739726
(feel kinda)=0.08333333333333333
(levi riverisland)=0.016260162601626018
(cut comfort)=0.08333333333333333
(leg d)=0.13333333333333333
(hike freepeopl)=0.6666666666666666
(night soul)=0.06451612903225806
(denim treat)=0.04081632653061224
(isnt edit)=0.4
(buttondown essenti)=0.6666666666666666
(leg x)=0.1111111111111111
(guess lovemeadowhal)=0.018518518518518517
(happi sugar)=0.03125
(take latest)=0.15384615384615385
(spitzer levi)=0.6666666666666666
(good cloth)=0.0625
(cloth just)=0.0625
(necklac mango)=0.4
(need forev)=0.10714285714285714
(play bailey)=0.08695652173913043
(grab oh)=1.0
(levi phone)=0.018867924528301886
(love burgundi)=0.011560693641618497
(splurg ragbon)=0.4
(isabel deep)=0.5
(addict real)=0.15384615384615385
(detail earli)=0.25
(wholesom compani)=0.6666666666666666
(charliecarv start)=1.0
(levi maci)=0.045454545454545456
(gift fave)=0.2222222222222222
(levi boyfriend)=0.03488372093023256
(belt ragbon)=0.6666666666666666
(coast gangster)=0.6666666666666666
(kaylashackl wish)=1.0
(new intim)=0.012987012987012988
(fashion updat)=0.015748031496062992
(like hat)=0.045454545454545456
(kateydick awe)=1.0
(nyc cool)=0.25
(new campaign)=0.023255813953488372
(gap outlet)=0.6666666666666666
(refineri piec)=0.6666666666666666
(ilovespringrol state)=0.6666666666666666
(chose great)=0.5
(bd sale)=0.3333333333333333
(doesnt bore)=0.6666666666666666
(fashion ad)=0.017699115044247787
(sportswearnet list)=0.6666666666666666
(diesel jean)=0.6666666666666666
(u vega)=0.0013201320132013201
(bananarepubl tee)=0.6666666666666666
(easi sale)=0.2
(levi photo)=0.010810810810810811
(hm simpli)=0.0091324200913242
(custom lisa)=0.11764705882352941
(cardigan target)=0.5
(cutest white)=0.4
(fam pant)=0.04918032786885246
(walk runway)=0.25
(screen thread)=0.23529411764705882
(wild thing)=0.2
(lavend lace)=0.6666666666666666
(blue tshirt)=0.18181818181818182
(help like)=0.2
(hm floral)=0.0061162079510703364
(girl love)=0.058823529411764705
(jean paig)=0.010526315789473684
(new dress)=0.01092896174863388
(athlet cut)=0.3333333333333333
(good—nay great—tim)=0.4
(check new)=0.16666666666666666
(awesom skirt)=0.1111111111111111
(actual pretti)=0.16666666666666666
(doubl post)=0.4
(jean pair)=0.010256410256410256
(shout guy)=0.25
(peach sued)=0.6666666666666666
(accessori youll)=0.2857142857142857
(rock hm)=0.10526315789473684
(display instagram)=0.2857142857142857
(vincent espadrill)=0.6666666666666666
(offici transfer)=0.4
(poshk rag)=0.6666666666666666
(like favourit)=0.02531645569620253
(zara mango)=0.18181818181818182
(levi sale)=0.020833333333333332
(naomikyl omg)=0.11764705882352941
(yeahwild thing)=0.6666666666666666
(boot rag)=0.08695652173913043
(citi walk)=0.5
(fun ladiesinlevi)=0.1
(life lol)=0.05128205128205128
(ontheblog featur)=0.4
(bright thing)=0.2857142857142857
(grantav fam)=0.6666666666666666
(crimeofashion love)=1.0
(love phoebejtonkin)=0.006825938566552901
(told face)=0.5
(hm skirt)=0.010362694300518135
(hm applewatch)=0.010256410256410256
(love jumpsuit)=0.005263157894736842
(nicaragua beauti)=0.6666666666666666
(sleev hoodi)=0.3333333333333333
(polyvor fit)=0.11764705882352941
(grade good)=0.6666666666666666
(floral onpoint)=0.14285714285714285
(pleasur fam)=0.6666666666666666
(congrat levi)=0.2857142857142857
(fashionphd rebecca)=1.0
(freepeopl forev)=0.015151515151515152
(barsandmelodi dont)=1.0
(summer day)=0.08823529411764706
(major feat)=0.5
(ragbon alcltd)=0.03389830508474576
(cop higher)=0.5
(statement piec)=0.4
(shop style)=0.028985507246376812
(gabriella wild)=1.0
(love freepeopl)=0.0106951871657754
(recycl program)=0.1111111111111111
(mango need)=0.018518518518518517
(order shopparkandmadison)=0.16666666666666666
(bone orang)=0.023255813953488372
(proud buy)=0.25
(share bit)=0.3333333333333333
(go realli)=0.007633587786259542
(hm app)=0.008403361344537815
(oliv denim)=0.4
(space forev)=0.6666666666666666
(jean candi)=0.007905138339920948
(site actual)=0.2857142857142857
(gonna piss)=0.5
(card holder)=0.3333333333333333
(luigigalang forev)=0.6666666666666666
(myntra myntra)=0.2222222222222222
(littl shop)=0.1
(ragbon jbrandjean)=0.0625
(just say)=0.1111111111111111
(look make)=0.01639344262295082
(rail lucki)=0.5
(half wardrob)=0.2857142857142857
(good thewondersoffashion)=0.058823529411764705
(happier great)=0.4
(moss rag)=0.4
(freepeopl bless)=0.03278688524590164
(c forster)=9.090909090909091E-4
(e w)=0.007482561826252378
(nataliejwhit ziadom)=1.0
(freepeopl beauti)=0.00904977375565611
(guess congrat)=0.041666666666666664
(freepeopl store)=0.02
(khloekardashian good)=1.0
(ador month)=0.4
(wear year)=0.028169014084507043
(shop girl)=0.030303030303030304
(hmpopup hmlovesmus)=0.6666666666666666
(today cuti)=0.058823529411764705
(love got)=0.006024096385542169
(dress hot)=0.02857142857142857
(list best)=0.125
(favorit store)=0.07894736842105263
(illus high)=0.4
(hm beauti)=0.005698005698005698
(whowhatwear levi)=0.25
(perfect summer)=0.08
(rachelslookbook levi)=1.0
(jsavoi ragbon)=0.6666666666666666
(freepeopl onoapoeia)=0.016
(just bought)=0.06060606060606061
(model year)=0.16666666666666666
(graduat wear)=0.6666666666666666
(sport chic)=0.2
(blous distress)=0.13333333333333333
(photo im)=0.1
(hm advertis)=0.005633802816901409
(maccosmet look)=0.6666666666666666
(construct architectur)=0.6666666666666666
(beachi hair)=0.6666666666666666
(light pink)=0.09523809523809523
(thx beauti)=0.4
(time tell)=0.04878048780487805
(blush color)=1.0
(arriv fall)=0.12
(convinc jumpsuit)=0.6666666666666666
(pair levi)=0.05405405405405406
(hm produc)=0.00819672131147541
(half closet)=0.4
(chambray floral)=0.4
(forev score)=0.013605442176870748
(sleep lol)=0.4
(track pair)=0.6666666666666666
(life debat)=0.05714285714285714
(mango misshorlock)=0.018018018018018018
(final order)=0.2
(realiz entir)=0.4
(brand definit)=0.06451612903225806
(sideshav flow)=0.6666666666666666
(currentelliott hm)=0.125
(love s)=0.0429042904290429
(love u)=0.017241379310344827
(freepeopl fall)=0.029850746268656716
(ootd your)=0.04878048780487805
(collect set)=0.09523809523809523
(jacket score)=0.06896551724137931
(shop vintag)=0.01834862385321101
(standup comedi)=0.6666666666666666
(best brand)=0.0425531914893617
(go weekend)=0.007575757575757576
(shout hm)=0.2857142857142857
(nail headyou)=0.4
(amandawaldorf vneck)=1.0
(denim trend)=0.024096385542168676
(just favourit)=0.04878048780487805
(sleep spent)=0.3333333333333333
(drink coffe)=0.3333333333333333
(time gonna)=0.04878048780487805
(wetseal forev)=0.6666666666666666
(hm ur)=0.005479452054794521
(love silki)=0.008849557522123894
(smile grate)=0.16666666666666666
(bone artwork)=0.021052631578947368
(spent pound)=0.2222222222222222
(leather short)=0.125
(guess maximmag)=0.019230769230769232
(earthquak sage)=0.6666666666666666
(check blog)=0.13333333333333333
(guess hand)=0.038461538461538464
(fashionaddict jumpsuit)=0.42857142857142855
(shirt forev)=0.07142857142857142
(freepeopl singl)=0.00851063829787234
(leather rag)=0.2
(display joythestor)=0.2
(social engag)=0.2857142857142857
(cloth recycl)=0.045454545454545456
(skinni seri)=0.07142857142857142
(stacylondon your)=0.6666666666666666
(follow justjean)=0.2
(matjobson arianagrand)=0.6666666666666666
(world lot)=0.13333333333333333
(fam forallmankind)=0.020618556701030927
(photo floppi)=0.09523809523809523
(excel circulareconomi)=0.2857142857142857
(score love)=0.2857142857142857
(swimwear thisgirlsav)=0.3333333333333333
(ador afford)=0.2222222222222222
(vintag levi)=0.25
(u classic)=0.0011441647597254005
(fun happi)=0.1111111111111111
(peopl wear)=0.012048192771084338
(regram freepeopl)=0.5
(levi save)=0.020618556701030927
(shirt mango)=0.05555555555555555
(someon rave)=0.6666666666666666
(s ss)=7.995735607675906E-4
(vincesay ragbon)=0.5
(day trip)=0.0136986301369863
(favorit summer)=0.07407407407407407
(hm awar)=0.007936507936507936
(plan special)=0.6666666666666666
(pair fam)=0.058823529411764705
(minim qualityoverquant)=0.5
(watch forev)=0.2222222222222222
(mango nordstrom)=0.015384615384615385
(scarf print)=0.4
(iamm discount)=1.0
(light grey)=0.13333333333333333
(came today)=0.25
(xchloelloyd guess)=1.0
(bomber jacket)=0.6666666666666666
(forev nordstrom)=0.009478672985781991
(pictur shown)=0.4
(guess resound)=0.02631578947368421
(obstacl oblig)=0.6666666666666666
(fashion activewear)=0.013793103448275862
(wang x)=0.5
(know borrow)=0.1111111111111111
(makeup jessicavn)=0.5
(tell imag)=0.08333333333333333
(taken life)=0.2857142857142857
(worker realli)=0.6666666666666666
(start new)=0.18181818181818182
(sale fit)=0.04
(wallet get)=0.6666666666666666
(awar heartach)=0.4
(make day)=0.09523809523809523
(amanda vanselow)=0.4
(your featur)=0.03225806451612903
(wear doesnt)=0.031746031746031744
(jean grey)=0.0136986301369863
(guess affguessjean)=0.020618556701030927
(mom jean)=0.18181818181818182
(reason hm)=0.6666666666666666
(backtoschool deal)=0.4
(im feel)=0.008032128514056224
(thingi feel)=0.6666666666666666
(distress finish)=0.16666666666666666
(girl serv)=0.06896551724137931
(skinni jean)=0.42857142857142855
(rock vintag)=0.1
(conscious rang)=0.6666666666666666
(hmlovesmus hm)=0.3333333333333333
(tay nicolee)=0.4
(excit wear)=0.125
(ragbon shoe)=0.02857142857142857
(jean simpl)=0.008733624454148471
(candi flat)=0.6666666666666666
(summerwhit ootd)=0.6666666666666666
(sister necklac)=0.6666666666666666
(long time)=0.14285714285714285
(explor night)=0.5
(hm hm)=0.01015228426395939
(cape fblogger)=0.4
(levi love)=0.06896551724137931
(love product)=0.005361930294906166
(internetnich hm)=1.0
(bcbgmaxazria cupcakesandcashmer)=0.6666666666666666
(divid collect)=0.6666666666666666
(jcpenney summer)=0.6666666666666666
(listen hm)=0.6666666666666666
(forev end)=0.015748031496062992
(levi jean)=0.0625
(got ragandbon)=0.04081632653061224
(cool love)=0.11764705882352941
(wrist got)=0.6666666666666666
(style fashion)=0.04878048780487805
(k guiducci)=0.0019157088122605363
(x levi)=0.014218009478672985
(shirt freepeopl)=0.0625
(jean tee)=0.011904761904761904
(time hm)=0.1
(outfit agathavpw)=0.03636363636363636
(freepeopl clog)=0.010050251256281407
(lovelustrun shop)=0.5
(porsch alainfeld)=0.5
(american jean)=0.15384615384615385
(fam culott)=0.013157894736842105
(calvinklein rain)=0.6666666666666666
(levi denim)=0.011560693641618497
(worldemojiday xx)=0.6666666666666666
(buy outfit)=0.10526315789473684
(recycl scheme)=0.16666666666666666
(nice today)=0.1111111111111111
(jean fahmida)=0.009345794392523364
(trucker jacket)=0.6666666666666666
(week awesomeaward)=0.047619047619047616
(levi ahh)=0.019801980198019802
(let custom)=0.05555555555555555
(like worth)=0.03389830508474576
(nordstrom nsale)=0.2222222222222222
(brand premium)=0.046511627906976744
(frompaperchas thewhitecompani)=0.6666666666666666
(collabor iamfoxesso)=0.6666666666666666
(jean newarriv)=0.014598540145985401
(love braid)=0.012121212121212121
(lace tunic)=0.07142857142857142
(naomikyl fam)=0.4
(guess give)=0.045454545454545456
(earring hm)=0.3333333333333333
(hm oh)=0.0072992700729927005
(wear thisbut)=0.0196078431372549
(obsess sweater)=0.1
(sale catch)=0.046511627906976744
(grey jean)=0.2727272727272727
(new combat)=0.010309278350515464
(trolley free)=0.6666666666666666
(n bone)=5.455537370430987E-4
(stradivarius love)=0.4
(booti size)=0.2
(celebr give)=0.4
(rydelryl give)=1.0
(leather jacket)=0.3333333333333333
(seri perfect)=0.2857142857142857
(latergram yesterday)=1.0
(levi cantwait)=0.03571428571428571
(guiducci great)=0.6666666666666666
(fashion moda)=0.014084507042253521
(peppero fashion)=0.4
(oh best)=0.1111111111111111
(freepeopl cutoff)=0.007246376811594203
(great thing)=0.03278688524590164
(thank forev)=0.021052631578947368
(yes thank)=0.07142857142857142
(jumper love)=0.3333333333333333
(cutoff short)=0.4
(hmosheaga hmlovesmus)=0.6666666666666666
(jesslwynn love)=1.0
(fit trip)=0.029850746268656716
(fashion fblogger)=0.020202020202020204
(get colder)=0.045454545454545456
(got ragbon)=0.03125
(u mean)=0.001154068090017311
(forev fxme)=0.013422818791946308
(let help)=0.058823529411764705
(batb s)=0.4
(pull oldi)=0.4
(coat alexandermcqueen)=0.3333333333333333
(make happi)=0.06382978723404255
(tbt favorit)=1.0
(team cours)=0.2857142857142857
(guess inspir)=0.06896551724137931
(moroccan style)=0.6666666666666666
(freepeopl im)=0.008264462809917356
(boyfriend friend)=0.18181818181818182
(just shop)=0.03508771929824561
(sedap gila)=0.6666666666666666
(final got)=0.18181818181818182
(oasisfashion cape)=0.6666666666666666
(alc white)=0.3333333333333333
(tshirt u)=0.2222222222222222
(levi weekend)=0.0425531914893617
(fashion noondaystyl)=0.014285714285714285
(fun want)=0.14285714285714285
(men commut)=0.045454545454545456
(altern normal)=0.6666666666666666
(alcltd ootd)=0.6666666666666666
(buy happi)=0.06060606060606061
(londonrebeluk thekoopl)=0.4
(actual seen)=0.18181818181818182
